Features,XGBoost_Feature_Importance,RF_Importance,Selected,Rejected
DA_DEMD,0.6274643830955028,0.45760565878123033,DA_DEMD,DA_LMP
DEMAND,0.8303664408624172,0.9990342840033974,DEMAND,DA_EC
DA_LMP,0.5138869162648916,0.6043725515937679,DA_CC,DryBulb
DA_EC,0.48781509250402444,0.586199140828257,DA_MLC,
DA_CC,0.6752075046300888,0.1443213796083081,RT_LMP,
DA_MLC,0.6557412229478359,0.590399812050353,RT_EC,
RT_LMP,0.4947111681103706,0.39053048086516595,RT_CC,
RT_EC,0.49130782373249526,0.4850151811613976,RT_MLC,
RT_CC,0.9415617406368256,0.08312723927882301,DewPnt,
RT_MLC,0.639213989675045,0.705452606422387,RegCP,
DryBulb,0.6065062455832958,0.0002923678766255007,,
DewPnt,0.5612060397863388,0.8503180154518639,,
RegCP,0.5230877984315156,0.7683925965739554,,
